oid,TableID,ParentTableID,TableName,TableUserName,ParentTableName,ParentTableUserName,ValueID,ShortStringValue,LongStringValue,ParentValueID,SortIndex,Namespace,DateCreated,DateModified,IsDeleted,Author
56C1C252-A468-4FAD-A8AD-000F74848F1B,2B4DDA11-E72D-4533-B484-C838EA472F84,00000000-0000-0000-0000-000000000000,SMSurvivabilityWarningMessages,NULL,NULL,NULL,2057,Problem  applying knuckle tabs,Problem occurred when applying a knuckle tab,-1,-1,STRMFG,NULL,NULL,0,NULL
2B148224-C648-4B26-8BC4-001004A904C6,1449F2E9-DB97-11D6-A551-00B0D021E10A,1449DFF1-DB97-11D6-A551-00B0D021E10A,PipingCommodOptions2,NULL,Piping commodity option,NULL,1630,0.5 deg,0.5 deg,105,0,EF,NULL,NULL,0,NULL
FF7A366D-7FC9-48F9-89C3-00125B62C0F5,9C9ACAD3-48BE-4A27-A552-E2CEB0A4E74F,00000000-0000-0000-0000-000000000000,PipingCommodityClass,NULL,NULL,NULL,310,Conduit Direction Change Fittings,,-1,310,REFDAT,NULL,Jul 23 2013  6:32PM,0,INGRNET\sp3dadminuser1
205A24DF-A390-42F5-8C28-00141AA1A7A3,6BB26258-F91B-41B1-9F69-725920D33D2D,16AC2FF0-7E34-434B-8347-A8CE802A20E7,MaterialsGradePractice3,NULL,MaterialsGradePractice2,NULL,6751,S355G9M,S355G9M,6740,0,EF,NULL,NULL,0,NULL
51DB1488-9627-47B2-B16A-0015A13E7545,EEE51EE8-355F-449B-B703-A6F9E7E18620,00000000-0000-0000-0000-000000000000,Materials Grade Practice,NULL,NULL,NULL,65052,"A 1100FD, JIS H 4140","A 1100FD, JIS H 4140",0,0,EF,NULL,NULL,0,NULL
38EFFA8F-AB8A-413B-A77C-0016233DC84D,EBEDCE7B-B6A4-47B6-AB91-36906F6CF80E,59F06EF4-4BA6-4C68-B877-876BE234251D,ValveModelNumber,NULL,ValveManufacturer,NULL,50406,VTI K44,VTI K44,76,6268,REFDAT,Dec 18 2008  3:32PM,Jul 23 2013  6:35PM,0,INGRNET\sp3dadminuser1
7875DFA9-39BE-47B7-9493-00174C7DAA62,145AAF30-E6E8-496E-9A1C-5333BB44FAB1,99F66554-1DD0-48D7-8487-307BD2297C4A,CommodityOption,NULL,OptionCategory,NULL,3228,"Victaulic®, Pressfit swage","Victaulic®, Pressfit swage",55,276,REFDAT,Dec 18 2008  3:12PM,Jul 23 2013  6:12PM,0,INGRNET\sp3dadminuser1
5EEA918F-AFEE-4D20-8A9F-001761C8136B,55C42264-078A-4509-A29C-E411EED05C1A,66F9F5C7-76DF-4FD4-A3CF-057136181ECD,GeometricIndustryStandards2,NULL,Geometric Industry Standard,NULL,190006,NS 2539,"NS 2539, Marine industry set-in flanges, PN 10",510,0,EF,NULL,NULL,0,NULL
D75C3D64-6797-44C0-B32F-0017A69F551D,EBEDCE7B-B6A4-47B6-AB91-36906F6CF80E,59F06EF4-4BA6-4C68-B877-876BE234251D,ValveModelNumber,NULL,ValveManufacturer,NULL,1609,Resun Figure DV-151,Resun® Figure DV-151,38,3980,REFDAT,Dec 18 2008  3:26PM,Jul 23 2013  6:35PM,0,INGRNET\sp3dadminuser1
0F9E1A5E-441D-47B5-96F0-001A7670668D,80833DB8-2DCE-4DBA-8D5C-5257F1AD7FA4,00000000-0000-0000-0000-000000000000,ProtectionRelayFunctionTypes,NULL,NULL,NULL,16,Phase sequence,Phase sequence,0,0,EF,NULL,NULL,0,NULL
BF5366E2-E6FC-42E6-B3F2-001A8C5C8938,AC3B7DA6-D100-4AA0-B422-7552BEFA38CD,00000000-0000-0000-0000-000000000000,StrDetSplitPCSemErrors,NULL,NULL,NULL,1,Unknown Error,Unknown Error,-1,-1,STRUCT,NULL,NULL,0,NULL
B6F879EF-71BF-4540-929B-001B4C50D2ED,689659A6-8AC1-498B-8C9A-6AB1046028FC,DA9ED582-467D-4E94-B7B8-1FB24714FB51,CompartmentFunctionType,,CompartmentClassType,,10050,damage control zone,zone that defines the boundaries of a damage control area.,10000,9,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,0,INGRNET\sp3dadminuser1
3BBB34E7-A9BB-43EA-BF6B-001BB25D8BF6,C1479A07-F057-4DD0-8061-AE174ECE337F,D1271529-EE95-4B54-B6F3-BD249A4C9740,MaterialsGrade,NULL,MaterialsCategory,NULL,200012,CSN 17 352,CSN 17 352,65,4532,REFDAT,Dec 18 2008  3:19PM,Jul 23 2013  6:19PM,0,INGRNET\sp3dadminuser1
B3CD6814-7722-4D1E-B58C-001C2C800D6F,1449F1EC-DB97-11D6-A551-00B0D021E10A,1449DF1B-DB97-11D6-A551-00B0D021E10A,PipingComponentTypes2,NULL,Piping component type,NULL,1080,Temperature valves,Temperature valves,5,0,EF,NULL,NULL,0,NULL
EA823871-CED8-449E-BB6C-001C31869AB7,9A1D9404-EC01-4D04-898B-58082FA35197,00000000-0000-0000-0000-000000000000,MachBoltLengthRoundOffOption,NULL,NULL,NULL,5,None,None,-1,5,REFDAT,NULL,Jul 23 2013  6:19PM,0,INGRNET\sp3dadminuser1
60845D5C-F7FB-4494-B59F-001C5C21537C,53A07E0C-7DAF-4F96-BAFC-F4718B5C9D75,23BDC4C6-A739-4409-B129-46C3FBDB8C0F,GasketType,NULL,GasketCategory,NULL,290,Metallic serrated gasket,Metallic serrated gasket,45,76,REFDAT,Dec 18 2008  3:13PM,Jul 23 2013  6:15PM,0,INGRNET\sp3dadminuser1
6641175B-D08F-4F58-87CB-001D36C2F331,B6AC33B5-DE85-4CCA-A598-D9C4950CC15B,F4610AE0-C066-4E7F-BDC1-87B4FA78E72B,PressureRating,NULL,RatingPractice,NULL,7001,Vacuum,Vacuum,4,2,REFDAT,Dec 18 2008  3:21PM,Jul 23 2013  6:34PM,0,INGRNET\sp3dadminuser1
019DBBCD-5582-486D-9DDF-001E75D241BD,6BB26258-F91B-41B1-9F69-725920D33D2D,16AC2FF0-7E34-434B-8347-A8CE802A20E7,MaterialsGradePractice3,NULL,MaterialsGradePractice2,NULL,1192,A403-WP304L,A403-WP304L,20,0,EF,NULL,NULL,0,NULL
05731A4D-C231-497D-9278-0020C2F0C337,EBEDCE7B-B6A4-47B6-AB91-36906F6CF80E,59F06EF4-4BA6-4C68-B877-876BE234251D,ValveModelNumber,NULL,ValveManufacturer,NULL,6445,Powell 9033WE,Powell 9033WE,70,3829,REFDAT,Dec 18 2008  3:26PM,Jul 23 2013  6:35PM,0,INGRNET\sp3dadminuser1
82111EEB-75E2-4168-9AB6-00210C6495C9,C1479A07-F057-4DD0-8061-AE174ECE337F,D1271529-EE95-4B54-B6F3-BD249A4C9740,MaterialsGrade,NULL,MaterialsCategory,NULL,7642,ASTM B241-2219 temper T31,ASTM B241-2219 temper T31,35,1675,REFDAT,Dec 18 2008  3:16PM,Jul 23 2013  6:19PM,0,INGRNET\sp3dadminuser1
8B18466F-DBA4-4179-A7F0-00219FEB40B3,876FE0EA-E2B7-47FD-9218-1EE4FCAB4311,00000000-0000-0000-0000-000000000000,MfgMacroLocationType,NULL,NULL,NULL,9,End Cut at Start,End Cut at Start,-1,-1,STRMFG,NULL,NULL,0,NULL
7D9571AE-F669-430D-9963-002557EDBFBF,1449EFB4-DB97-11D6-A551-00B0D021E10A,1449EFE5-DB97-11D6-A551-00B0D021E10A,DocSubtypes,NULL,DocTypes,NULL,1009,General Details,General Details,1001,0,EF,NULL,NULL,0,NULL
D068B202-BA12-4835-90B4-00256E808CC9,AEA8F3F6-3843-4847-9561-5E9DE128F7C6,25DE2342-F64D-43DD-A712-70DD2E552FF6,Manufacturer,NULL,ManufacturerIndustryPractice,NULL,31,Spears® Manufacturing Company,Spears® Manufacturing Company,6,184,REFDAT,Dec 18 2008  3:15PM,Jul 23 2013  6:19PM,0,INGRNET\sp3dadminuser1
0B79630D-CD2A-4B74-8912-0025F2AA21FA,EBEDCE7B-B6A4-47B6-AB91-36906F6CF80E,59F06EF4-4BA6-4C68-B877-876BE234251D,ValveModelNumber,NULL,ValveManufacturer,NULL,2796,Val-Matic Model 1816VB/38,Val-Matic® Model 1816VB/38,885,5095,REFDAT,Dec 18 2008  3:29PM,Jul 23 2013  6:35PM,0,INGRNET\sp3dadminuser1
F34D9F15-F796-40D0-923F-002730A6DED3,EBEDCE7B-B6A4-47B6-AB91-36906F6CF80E,59F06EF4-4BA6-4C68-B877-876BE234251D,ValveModelNumber,NULL,ValveManufacturer,NULL,553,FNWTM Figure F68,FNWTM Figure F68,14,1563,REFDAT,Dec 18 2008  3:23PM,Jul 23 2013  6:35PM,0,INGRNET\sp3dadminuser1
D0B12CE4-E91D-48F3-862E-00285064E2D4,145AAF30-E6E8-496E-9A1C-5333BB44FAB1,99F66554-1DD0-48D7-8487-307BD2297C4A,CommodityOption,NULL,OptionCategory,NULL,3260,960,Class 960,70,413,REFDAT,Dec 18 2008  3:12PM,Jul 23 2013  6:12PM,0,INGRNET\sp3dadminuser1
042E2682-5285-4EAF-9BBB-0029834424C2,1449F07F-DB97-11D6-A551-00B0D021E10A,1449DE73-DB97-11D6-A551-00B0D021E10A,ScheduleThicknesses2,NULL,Schedule or Thickness Practices,NULL,7107,9.5 mm,9.5 mm,3,0,EF,NULL,NULL,0,NULL
5273F96F-D414-40E5-BBE3-002BA22FA3B9,C1479A07-F057-4DD0-8061-AE174ECE337F,D1271529-EE95-4B54-B6F3-BD249A4C9740,MaterialsGrade,NULL,MaterialsCategory,NULL,7183,ASTM A358-XM-29 (UNS S28300),ASTM A358-XM-29 (UNS S28300),20,843,REFDAT,Dec 18 2008  3:15PM,Jul 23 2013  6:19PM,0,INGRNET\sp3dadminuser1
F77A74FD-C276-45C1-A880-002BB8D42397,1449F235-DB97-11D6-A551-00B0D021E10A,1449F1EC-DB97-11D6-A551-00B0D021E10A,PipingComponentTypes3,NULL,PipingComponentTypes2,NULL,9634,ElboMegalet,ElboMegalet,295,0,EF,NULL,NULL,0,NULL
8E52396D-A187-4C6F-955F-002C3119853F,EEE51EE8-355F-449B-B703-A6F9E7E18620,00000000-0000-0000-0000-000000000000,Materials Grade Practice,NULL,NULL,NULL,148,"API 5L; ASTM A-53, Gr. B; and ASTM A-106, Gr. B","API 5L; ASTM A-53, Gr. B; and ASTM A-106, Gr. B",0,0,EF,NULL,NULL,0,NULL
B8D41A29-6F1B-4E93-BF9F-002D875D9A2C,5D6A8C7C-D4F1-45F3-B951-856093BD0DA1,00000000-0000-0000-0000-000000000000,PartDataBasis,NULL,NULL,NULL,499,"Snap-on saddle, specified by saddle length, branch face to header centerline, and angle","Snap-on saddle, specified by saddle length, branch face to header centerline, and angle",-1,-1,REFDAT,NULL,Jul 23 2013  6:31PM,0,INGRNET\sp3dadminuser1
2516BDA6-73E4-478B-A184-003274CF6280,C1479A07-F057-4DD0-8061-AE174ECE337F,D1271529-EE95-4B54-B6F3-BD249A4C9740,MaterialsGrade,NULL,MaterialsCategory,NULL,80025,320 S 17,320 S 17,81,3109,REFDAT,Dec 18 2008  3:17PM,Jul 23 2013  6:19PM,0,INGRNET\sp3dadminuser1
BBA8B5BD-4C79-4E76-BEFD-0033CC8CE41E,8400014D-04F8-46B3-9183-1A1FEF236582,00000000-0000-0000-0000-000000000000,PipingCmdtyProcurementDataOpt,NULL,NULL,NULL,15,Determine procurement data based on industry commodity code,Determine procurement data based on industry commodity code,-1,15,REFDAT,NULL,Jul 23 2013  6:32PM,0,INGRNET\sp3dadminuser1
1DE5191C-BA63-4F6D-B6B6-003401A4E641,C768D1CE-8326-45D8-A809-3039A8F39844,00000000-0000-0000-0000-000000000000,ScheduleThicknessPractice,NULL,NULL,NULL,460,Malaysia Standards (DSM),,-1,460,REFDAT,NULL,Jul 23 2013  6:34PM,0,INGRNET\sp3dadminuser1
92293AD7-CAF5-4B29-AF40-0034A1DFC387,5D6A8C7C-D4F1-45F3-B951-856093BD0DA1,00000000-0000-0000-0000-000000000000,PartDataBasis,NULL,NULL,NULL,9008,"Conduit elbow, symmetrical, specified by face-to-center, tangent length, and bend radius","Conduit elbow, symmetrical, specified by face-to-center, tangent length, and bend radius",-1,-1,REFDAT,NULL,Jul 23 2013  6:31PM,0,INGRNET\sp3dadminuser1
28D42D30-9701-4EBC-9830-0036A35BE755,31CEDE7C-B996-4E5A-99DF-EC71E3C28925,00000000-0000-0000-0000-000000000000,SMTemplateProcessPlateDirection,,NULL,NULL,5181,Longitudinal,Longitudinal,-1,2,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,0,INGRNET\sp3dadminuser1
EBB81E5F-FC8F-42F2-B8EC-0036DD88C6D1,EBEDCE7B-B6A4-47B6-AB91-36906F6CF80E,59F06EF4-4BA6-4C68-B877-876BE234251D,ValveModelNumber,NULL,ValveManufacturer,NULL,9975,Warren Controls Type 2832,Warren Controls Type 2832,879,5469,REFDAT,Dec 18 2008  3:29PM,Jul 23 2013  6:35PM,0,INGRNET\sp3dadminuser1
FF881485-2557-460B-8DAF-003A091DA663,C1479A07-F057-4DD0-8061-AE174ECE337F,D1271529-EE95-4B54-B6F3-BD249A4C9740,MaterialsGrade,NULL,MaterialsCategory,NULL,938,ASTM A167-310,ASTM A167-310,20,591,REFDAT,Dec 18 2008  3:15PM,Jul 23 2013  6:19PM,0,INGRNET\sp3dadminuser1
3EEF7887-F8E5-449A-835B-003AF2D9FC55,31C877E5-A5BC-4C77-BB37-29D4FE603844,19F3B91F-0D77-4CB2-9F45-A1EB019F8518,ValveOperatorGeometricIndustryStandard,NULL,Valve Operator Geometric Industry Practices,NULL,1255,"Crane 55, w/MSS-SP-44 flanged ends","Crane 55, w/MSS-SP-44 flanged ends",6,0,EF,NULL,NULL,0,NULL
0FB5A3EB-255D-48B5-B021-003B2F7D4448,75FD93B9-9D0D-40ED-B0BE-94A99B4AB396,00000000-0000-0000-0000-000000000000,TransverseBulkheadCategory,,NULL,NULL,7,BH,Transverse Bulkhead,-1,2,UDP,Nov  5 2013  8:16PM,Nov  5 2013  8:16PM,0,INGRNET\sp3dadminuser1
3AC39B3B-614D-493D-8F15-003BA46A89BB,EBEDCE7B-B6A4-47B6-AB91-36906F6CF80E,59F06EF4-4BA6-4C68-B877-876BE234251D,ValveModelNumber,NULL,ValveManufacturer,NULL,8305,Worchester AF82V19,Worchester AF82V19,8283,5556,REFDAT,Dec 18 2008  3:30PM,Jul 23 2013  6:35PM,0,INGRNET\sp3dadminuser1
6310EFBD-D218-414A-B48A-003E25C5B771,EEE51EE8-355F-449B-B703-A6F9E7E18620,00000000-0000-0000-0000-000000000000,Materials Grade Practice,NULL,NULL,NULL,200012,CSN 17 352,CSN 17 352,0,0,EF,NULL,NULL,0,NULL
8E3AD373-E021-4787-B523-003E3A00A7E5,6BB26258-F91B-41B1-9F69-725920D33D2D,16AC2FF0-7E34-434B-8347-A8CE802A20E7,MaterialsGradePractice3,NULL,MaterialsGradePractice2,NULL,6715,Glass Wool,Glass Wool,6695,0,EF,NULL,NULL,0,NULL
EB1F753F-2E3E-491A-9CCB-003EBDEC23F1,EBEDCE7B-B6A4-47B6-AB91-36906F6CF80E,59F06EF4-4BA6-4C68-B877-876BE234251D,ValveModelNumber,NULL,ValveManufacturer,NULL,50012,Ebro BE 80,Ebro BE 80,67,5853,REFDAT,Dec 18 2008  3:30PM,Jul 23 2013  6:35PM,0,INGRNET\sp3dadminuser1
3EB7BA8C-18B5-438C-A55E-003EF63AE8EE,8A3796D4-3A7B-4636-812D-F6D860CFA9AC,291AD1AC-F5EB-4170-A9D3-49EB861EC0DC,GeometricIndustryStandard,NULL,GeometricIndustryPractice,NULL,9168,Armstrong® 300-FW Series Inverted Bucket Steam Trap,Armstrong® 300-FW Series Inverted Bucket Steam Trap,6,2051,REFDAT,Oct 24 2014  4:36PM,Oct 24 2014  4:36PM,0,INGRNET\sp3dadminuser1
2EE6E8A6-7835-4345-9363-003FD0D128A5,EEE51EE8-355F-449B-B703-A6F9E7E18620,00000000-0000-0000-0000-000000000000,Materials Grade Practice,NULL,NULL,NULL,8026,ASTM A325 Type 3 Class C,ASTM A325 Type 3 Class C,0,0,EF,NULL,NULL,0,NULL
4435E620-3069-45C8-94B9-0041B28A8D47,1449F235-DB97-11D6-A551-00B0D021E10A,1449F1EC-DB97-11D6-A551-00B0D021E10A,PipingComponentTypes3,NULL,PipingComponentTypes2,NULL,8705,SAMHO,"Sampling valve, hand-operated",1130,0,EF,NULL,NULL,0,NULL
8398E3D4-3D47-4FFE-A657-0041C0AD4341,29863D57-9053-49C5-B832-362E446B0A87,00000000-0000-0000-0000-000000000000,RteSemanticErrorMessages,NULL,NULL,NULL,139,Invalid Cross section selected on Run/Feature,Invalid Cross section selected on Run/Feature,-1,-1,ROUTE,NULL,NULL,0,NULL
182CFDFC-6437-45E2-80A9-0041D3CC3704,B6AC33B5-DE85-4CCA-A598-D9C4950CC15B,F4610AE0-C066-4E7F-BDC1-87B4FA78E72B,PressureRating,NULL,RatingPractice,NULL,360,PN500,DIN PN 500,18,147,REFDAT,Dec 18 2008  3:21PM,Jul 23 2013  6:34PM,0,INGRNET\sp3dadminuser1
6DEF2DF2-AC88-4630-91D3-0043E689F7AE,EBEDCE7B-B6A4-47B6-AB91-36906F6CF80E,59F06EF4-4BA6-4C68-B877-876BE234251D,ValveModelNumber,NULL,ValveManufacturer,NULL,110012,Strahman Type 230,Strahman Type 230,82,6687,REFDAT,Dec 18 2008  3:33PM,Jul 23 2013  6:35PM,0,INGRNET\sp3dadminuser1
CC2C1C82-023E-46C5-85E9-00448E41850C,55C42264-078A-4509-A29C-E411EED05C1A,66F9F5C7-76DF-4FD4-A3CF-057136181ECD,GeometricIndustryStandards2,NULL,Geometric Industry Standard,NULL,9076,BS3799,BS3799 steel pipe fittings screwed and socket welding (in),33,0,EF,NULL,NULL,0,NULL
6B8F1680-667C-4B16-AD26-004842BC9A3D,EBEDCE7B-B6A4-47B6-AB91-36906F6CF80E,59F06EF4-4BA6-4C68-B877-876BE234251D,ValveModelNumber,NULL,ValveManufacturer,NULL,1793,Sherwood KVA 880 Series,Sherwood KVA 880 Series,42,4246,REFDAT,Dec 18 2008  3:27PM,Jul 23 2013  6:35PM,0,INGRNET\sp3dadminuser1
209BB81E-6F2A-47D2-B4DE-004908009111,EEE51EE8-355F-449B-B703-A6F9E7E18620,00000000-0000-0000-0000-000000000000,Materials Grade Practice,NULL,NULL,NULL,120004,UNI X2CrNiMo 18 16,UNI X2CrNiMo 18 16,0,0,EF,NULL,NULL,0,NULL
36867498-CD7F-428C-A23A-0049AB542AB1,51848486-6B53-4761-B229-5994E54CB049,00000000-0000-0000-0000-000000000000,GeometryType,NULL,NULL,NULL,180,Lateral reducing runs,,-1,-1,REFDAT,NULL,Jul 23 2013  6:18PM,0,INGRNET\sp3dadminuser1
5835EEEE-1712-4F2E-80A9-0049C2292123,745CE101-8DB0-4C79-BE29-E8AF7961EEAD,DEE89E7E-2916-4334-8A8D-40532390ECEB,EndStandard,NULL,EndPractice,NULL,1401,"ASTM D2680, Standard Specification for Acrylonitrile-Butadiene-Styrene (ABS) and Poly(Vinyl Chloride) (PVC) Composite Sewer Piping","ASTM D2680, Standard Specification for Acrylonitrile-Butadiene-Styrene (ABS) and Poly(Vinyl Chloride) (PVC) Composite Sewer Piping",5,165,CMNSCH,Dec 18 2008  3:12PM,Jul 23 2013  6:14PM,0,INGRNET\sp3dadminuser1
E7F7D9DE-ED2C-43F3-B0D2-004B1848DB2E,C1479A07-F057-4DD0-8061-AE174ECE337F,D1271529-EE95-4B54-B6F3-BD249A4C9740,MaterialsGrade,NULL,MaterialsCategory,NULL,1884,ASTM B209-5456 temper H321,ASTM B209-5456 temper H321,35,1477,REFDAT,Dec 18 2008  3:15PM,Jul 23 2013  6:19PM,0,INGRNET\sp3dadminuser1
29F7024D-C2C0-46A9-B765-004BBF17ED26,44708E80-47AE-4BFC-AE61-E75C1F5084D3,00000000-0000-0000-0000-000000000000,StructFCSupportingCPs,NULL,NULL,NULL,14,14,14-Centroid Top,-1,14,REFDAT,NULL,Jul 23 2013  6:34PM,0,INGRNET\sp3dadminuser1
FF7A2B64-6CE3-4660-A2E6-004C9FD70D63,5D6A8C7C-D4F1-45F3-B951-856093BD0DA1,00000000-0000-0000-0000-000000000000,PartDataBasis,NULL,NULL,NULL,577,"90o elbow with side outlet, asymmetrical, specified by seat-to-center 1, seat-to-center 2, where side outlet equals seat-to-center 1","90o elbow with side outlet, asymmetrical, specified by seat-to-center 1, seat-to-center 2, where side outlet equals seat-to-center 1",-1,-1,REFDAT,NULL,Jul 23 2013  6:31PM,0,INGRNET\sp3dadminuser1
